<s>at</s>	<s>atlarız</s>	<s>atız</s>
<s>zangoçlarınızın</s>	<s>zangocunuza</s>	<s>zangocunuza</s>
<s>satrançlarından</s>	<s>satrançlarından</s>	<s>satrançlarından</s>
<s>önceliklerimizi</s>	<s>önceliğinizde</s>	<s>önceliğinizde</s>
<s>dağılmalarımıza</s>	<s>dağılmalarınızı</s>	<s>dağılmalarınızı</s>
<s>demircilerinizi</s>	<s>demircilerimde</s>	<s>demircilerimde</s>
<s>müsellesinizden</s>	<s>müsellesleriniz</s>	<s>müsellesleriniz</s>
<s>tulumlarınızdan</s>	<s>tulumlarının</s>	<s>tulumlarının</s>
<s>sindiriyordunuz</s>	<s>sindirdi</s>	<s>sindirdi</s>
<s>metafazlarından</s>	<s>metafazlarına</s>	<s>metafazlarına</s>
<s>gösterilerinden</s>	<s>gösterinden</s>	<s>gösterinden</s>
<s>kerpetenleriniz</s>	<s>kerpetenlerini</s>	<s>kerpetenlerini</s>
<s>taslaklarınızın</s>	<s>taslaklarında</s>	<s>taslaklarında</s>
<s>nergislerimizin</s>	<s>nergisleri</s>	<s>nergisleri</s>
<s>objelermişsiniz</s>	<s>objelerimizden</s>	<s>objelerimizden</s>
<s>erkeceylerinizi</s>	<s>erkeceylerimde</s>	<s>erkeceylerimde</s>
<s>yastıklarımızda</s>	<s>yastıklarınız</s>	<s>yastıklarınız</s>
<s>dokunmuyorsunuz</s>	<s>dokunuyor</s>	<s>dokunuyor</s>
<s>söylemiyordular</s>	<s>söylerim</s>	<s>söylerim</s>
<s>yetiştirmediler</s>	<s>yetiştiriyorlardı</s>	<s>yetiştiriyorlardı</s>
<s>kaçaklarımızdan</s>	<s>kaçağınızı</s>	<s>kaçağınızı</s>
<s>istisnalardınız</s>	<s>istisnalarımızın</s>	<s>istisnalarımızın</s>
<s>bileşiklerinize</s>	<s>bileşiğinden</s>	<s>bileşiğinden</s>
<s>hiperbollerimiz</s>	<s>hiperbollerinden</s>	<s>hiperbollerinden</s>
<s>ölümsüzlüklerde</s>	<s>ölümsüzlüklerden</s>	<s>ölümsüzlüklerden</s>
<s>dikdörtgenlerim</s>	<s>dikdörtgenlerinizin</s>	<s>dikdörtgenlerinizin</s>
<s>yörekentleriniz</s>	<s>yörekentlerine</s>	<s>yörekentlerine</s>
<s>günahkârlarınız</s>	<s>günahkârlarını</s>	<s>günahkârlarını</s>
<s>askerlerimizden</s>	<s>askerlerini</s>	<s>askerlerini</s>
<s>kardelenlerinde</s>	<s>kardelene</s>	<s>kardelene</s>
<s>otomobilcimizin</s>	<s>otomobilcilerini</s>	<s>otomobilcilerini</s>
<s>yönetimlerimizde</s>	<s>yönetimlerinin</s>	<s>yönetimlerinin</s>
<s>başlangıçlarında</s>	<s>başlangıçlarının</s>	<s>başlangıçlarının</s>
<s>katamaranlarımız</s>	<s>katamaranı</s>	<s>katamaranı</s>
<s>değişkenlerinizi</s>	<s>değişkenlerimin</s>	<s>değişkenlerimin</s>
<s>cumhuriyetlerimi</s>	<s>cumhuriyetimize</s>	<s>cumhuriyetimize</s>
<s>dedikoducunuzdan</s>	<s>dedikoducuymuşlar</s>	<s>dedikoducuymuşlar</s>
<s>ebediyetlerimize</s>	<s>ebediyetlerinizin</s>	<s>ebediyetlerinizin</s>
<s>doğruculuklardan</s>	<s>doğruculuğunu</s>	<s>doğruculuğunu</s>
<s>müselleslerinizi</s>	<s>müsellesinden</s>	<s>müsellesinden</s>
<s>kardelenlerinize</s>	<s>kardelenlerime</s>	<s>kardelenlerime</s>
<s>heteroseksüeline</s>	<s>heteroseksüeller</s>	<s>heteroseksüeller</s>
<s>müşteriymişsiniz</s>	<s>müşterim</s>	<s>müşterim</s>
<s>lepisteslerimizi</s>	<s>lepistesimize</s>	<s>lepistesimize</s>
<s>kuşkonmazlarımda</s>	<s>kuşkonmazlar</s>	<s>kuşkonmazlar</s>
<s>iyileşmeyecekler</s>	<s>iyileşmiyordular</s>	<s>iyileşmiyordular</s>
<s>lügatçelerimizin</s>	<s>lügatçelerini</s>	<s>lügatçelerini</s>
<s>cumhuriyetinizin</s>	<s>cumhuriyetlerimizde</s>	<s>cumhuriyetlerimizde</s>
<s>beneklermişsiniz</s>	<s>beneği</s>	<s>beneği</s>
<s>eşcinsellermişiz</s>	<s>eşcinselini</s>	<s>eşcinselini</s>
<s>sindirimlerimizi</s>	<s>sindirimeme</s>	<s>sindirimime</s>
<s>uzunluklarınızda</s>	<s>uzunlukları</s>	<s>uzunlukları</s>
<s>zürriyetlerinizi</s>	<s>zürriyetlerinde</s>	<s>zürriyetlerinde</s>
<s>daldırmıyordular</s>	<s>daldırıyorlar</s>	<s>daldırıyorlar</s>
<s>ücretsizliğimden</s>	<s>ücretsizliğinde</s>	<s>ücretsizliğinde</s>
<s>çığırtkanlarının</s>	<s>çığırtkanımdan</s>	<s>çığırtkanımdan</s>
<s>sendromlarınızın</s>	<s>sendromlarında</s>	<s>sendromlarında</s>
<s>yetmezliklerinde</s>	<s>yetmezlikmişiz</s>	<s>yetmezlikmişiz</s>
<s>dikkatlerimizden</s>	<s>dikkatlerin</s>	<s>dikkatlerin</s>
<s>karakterlerinden</s>	<s>karakterlerinizden</s>	<s>karakterlerinizden</s>
<s>yağlayıcılarınız</s>	<s>yağlayıcılarını</s>	<s>yağlayıcılarını</s>
<s>yağlayıcılarımda</s>	<s>yağlayıcıları</s>	<s>yağlayıcıları</s>
<s>sağduyularımızın</s>	<s>sağduyularınızı</s>	<s>sağduyularınızı</s>
<s>çikolatalarından</s>	<s>çikolatalarınız</s>	<s>çikolatalarınız</s>
<s>otostopçularımın</s>	<s>otostopçularının</s>	<s>otostopçularının</s>
<s>striptizlerimize</s>	<s>striptiziniz</s>	<s>striptiziniz</s>
<s>öğrencilerinizin</s>	<s>öğrenci</s>	<s>öğrenci</s>
<s>ehemmiyetsizliğe</s>	<s>ehemmiyetsizliklerinizden</s>	<s>ehemmiyetsizliklerinizden</s>
<s>diyapazonlarınız</s>	<s>diyapazonları</s>	<s>diyapazonları</s>
<s>eşcinsellerimize</s>	<s>eşcinsellerimiz</s>	<s>eşcinsellerimiz</s>
<s>gereksinimimizde</s>	<s>gereksinimlerinde</s>	<s>gereksinimlerinde</s>
<s>mustatillerimize</s>	<s>mustatillerime</s>	<s>mustatillerime</s>
<s>taşeronlarımızda</s>	<s>taşeronları</s>	<s>taşeronları</s>
<s>maydanozlarınızı</s>	<s>maydanozlarında</s>	<s>maydanozlarında</s>
<s>dedikoduculardan</s>	<s>dedikoducularınızdan</s>	<s>dedikoducularınızdan</s>
<s>sinekliklerinize</s>	<s>sinekliğimizden</s>	<s>sinekliğimizden</s>
<s>interfazlarınıza</s>	<s>interfazlarında</s>	<s>interfazlarında</s>
<s>kıyametlerimizde</s>	<s>kıyametlerde</s>	<s>kıyametlerde</s>
<s>iyileştirmiyordu</s>	<s>iyileştirecekler</s>	<s>iyileştirecekler</s>
<s>anahtarlığınızda</s>	<s>anahtarlıklarınızda</s>	<s>anahtarlıklarınızda</s>
<s>planetlerinizden</s>	<s>planeti</s>	<s>planeti</s>
<s>fakirleştirmedik</s>	<s>fakirleştiriyordu</s>	<s>fakirleştiriyordu</s>
<s>intiharlarımızda</s>	<s>intiharların</s>	<s>intiharların</s>
<s>bitirttiriyordum</s>	<s>bitirttirirler</s>	<s>bitirttirirler</s>
<s>cibiliyetimizden</s>	<s>cibiliyetleriniz</s>	<s>cibiliyetleriniz</s>
<s>röportajlarımdan</s>	<s>röportajım</s>	<s>röportajım</s>
<s>onarmayacaksınız</s>	<s>onarmadınız</s>	<s>onarmadınız</s>
<s>sözleşmelerinize</s>	<s>sözleşmelerimizi</s>	<s>sözleşmelerimizi</s>
<s>hedonistlerinizi</s>	<s>hedonistimin</s>	<s>hedonistimin</s>
<s>canlanmamıyorduk</s>	<s>canlanmamayacaksınız</s>	<s>canlanmamayacaksınız</s>
<s>yetiştirmezsiniz</s>	<s>yetiştirirsiniz</s>	<s>yetiştirirsiniz</s>
<s>penisilinimizden</s>	<s>penisilinlerinin</s>	<s>penisilinlerinin</s>
<s>dikdörtgenlerden</s>	<s>dikdörtgenleri</s>	<s>dikdörtgenleri</s>
<s>bitirtmeyecekler</s>	<s>bitirtmiyorlar</s>	<s>bitirtmiyorlar</s>
<s>maratonlarınızda</s>	<s>maratonuna</s>	<s>maratonuna</s>
<s>yaklaşmıyorsunuz</s>	<s>yaklaşıyordun</s>	<s>yaklaşıyordun</s>
<s>dezenfektanımdan</s>	<s>dezenfektanım</s>	<s>dezenfektanım</s>
<s>prototiplemenizin</s>	<s>prototipleme</s>	<s>prototipleme</s>
<s>noktürnlerimizden</s>	<s>noktürnünde</s>	<s>noktürnünde</s>
<s>ücretliliklerimin</s>	<s>ücretliliğine</s>	<s>ücretliliğine</s>
<s>ayarlattırmıyoruz</s>	<s>ayarlattırmadılar</s>	<s>ayarlattırmadılar</s>
<s>katılmayacaksınız</s>	<s>katılacaksın</s>	<s>katılacaksın</s>
<s>birleştirtiyordun</s>	<s>birleştirtdiniz</s>	<s>birleştirtdiniz</s>
<s>şampiyonluklarına</s>	<s>şampiyonluklarına</s>	<s>şampiyonluklarına</s>
<s>ayarlattırmadılar</s>	<s>ayarlattıracağım</s>	<s>ayarlattıracağım</s>
<s>değiştiriyorsunuz</s>	<s>değiştireceksiniz</s>	<s>değiştireceksiniz</s>
<s>eziyetçiliklerini</s>	<s>eziyetçiliğimizi</s>	<s>eziyetçiliğimizi</s>
<s>muhalefetlerimize</s>	<s>muhalefetlerin</s>	<s>muhalefetlerin</s>
<s>anahtarlıklarımda</s>	<s>anahtarlığı</s>	<s>anahtarlığı</s>
<s>haberleşmeyeceğim</s>	<s>haberleşiyorlardı</s>	<s>haberleşiyorlardı</s>
<s>sinematografımdan</s>	<s>sinematograf</s>	<s>sinematograf</s>
<s>şarapçılarınızdan</s>	<s>şarapçılarını</s>	<s>şarapçılarını</s>
<s>sindirimlerinizin</s>	<s>sindirimlerin</s>	<s>sindirimlerin</s>
<s>canlanmaıyorlardı</s>	<s>canlanmamaz</s>	<s>canlanmamaz</s>
<s>kullanışlarınızda</s>	<s>kullanışlarının</s>	<s>kullanışlarının</s>
<s>dağılmalarımızdan</s>	<s>dağılmalarının</s>	<s>dağılmalarının</s>
<s>sattırtırmıyorduk</s>	<s>sattırtırmazsın</s>	<s>sattırtırmazsın</s>
<s>aseksüellerimizde</s>	<s>aseksüelinizde</s>	<s>aseksüelinizde</s>
<s>kırdırtmayacaksın</s>	<s>kırdırtacaklar</s>	<s>kırdırtacaklar</s>
<s>yumuşaklarınızdan</s>	<s>yumuşaklarında</s>	<s>yumuşaklarında</s>
<s>eziyetçilerinizde</s>	<s>eziyetçisiniz</s>	<s>eziyetçisiniz</s>
<s>oyuncularmışsınız</s>	<s>oyuncularında</s>	<s>oyuncularında</s>
<s>gözlemeyeceksiniz</s>	<s>gözlemiyordum</s>	<s>gözlemiyordum</s>
<s>totemciliğinizden</s>	<s>totemciliğinde</s>	<s>totemciliğinde</s>
<s>lolipoplarımızdan</s>	<s>lolipoplarından</s>	<s>lolipoplarından</s>
<s>mikroişlemcilerde</s>	<s>mikroişlemcilerin</s>	<s>mikroişlemcilerin</s>
<s>ücretliliklerimiz</s>	<s>ücretliliğini</s>	<s>ücretliliğini</s>
<s>kaynaştırılmazlar</s>	<s>kaynaştırılmıyordu</s>	<s>kaynaştırılmıyordu</s>
<s>balalaykalarınızı</s>	<s>balalaykalarımdan</s>	<s>balalaykalarımdan</s>
<s>birleştirmezsiniz</s>	<s>birleştirmiyor</s>	<s>birleştirmiyor</s>
<s>hareketsizliğinin</s>	<s>hareketsizliğimde</s>	<s>hareketsizliğimde</s>
<s>homonimlerimizden</s>	<s>homonimlerim</s>	<s>homonimlerim</s>
<s>kullanışlarınızda</s>	<s>kullanış</s>	<s>kullanış</s>
<s>birlikteliklerime</s>	<s>birlikteliğinizi</s>	<s>birlikteliğinizi</s>
<s>canlandırılıyoruz</s>	<s>canlandırılacağız</s>	<s>canlandırılacağız</s>
<s>tecrübelerinizden</s>	<s>tecrüben</s>	<s>tecrüben</s>
<s>fotoğraflarınızın</s>	<s>fotoğrafında</s>	<s>fotoğrafında</s>
<s>karıştırmıyordular</s>	<s>karıştırmadın</s>	<s>karıştırmadın</s>
<s>yardımcılıklarınız</s>	<s>yardımcılıklarımın</s>	<s>yardımcılıklarımın</s>
<s>dalgalanmıyordular</s>	<s>dalgalanıyordum</s>	<s>dalgalanıyordum</s>
<s>işkencecilerimizin</s>	<s>işkencecilerine</s>	<s>işkencecilerine</s>
<s>psikoterapileriniz</s>	<s>psikoterapilerinden</s>	<s>psikoterapilerinden</s>
<s>süperpozisyonumuzu</s>	<s>süperpozisyonlarınızda</s>	<s>süperpozisyonlarınızda</s>
<s>alındırtmıyordular</s>	<s>alındırtırsınız</s>	<s>alındırtırsınız</s>
<s>ejderhalarmışsınız</s>	<s>ejderhalarının</s>	<s>ejderhalarının</s>
<s>ayrımcılıklarmışız</s>	<s>ayrımcılıklarınızda</s>	<s>ayrımcılıklarınızda</s>
<s>fortlamayacaksınız</s>	<s>fortlamadılar</s>	<s>fortlamadılar</s>
<s>yağlayıcılarımızın</s>	<s>yağlayıcısına</s>	<s>yağlayıcısına</s>
<s>kaynaştıracaksınız</s>	<s>kaynaştırır</s>	<s>kaynaştırır</s>
<s>animasyonlarımızın</s>	<s>animasyonunuzun</s>	<s>animasyonunuzun</s>
<s>tipografyalarından</s>	<s>tipografyamız</s>	<s>tipografyamız</s>
<s>heteroseksüelmişiz</s>	<s>heteroseksüeller</s>	<s>heteroseksüeller</s>
<s>çöpçatanlıklarının</s>	<s>çöpçatanlığına</s>	<s>çöpçatanlığına</s>
<s>acıktırtmıyordular</s>	<s>acıktırtıyorum</s>	<s>acıktırtıyorum</s>
<s>permütasyonlarımda</s>	<s>permütasyonumuzu</s>	<s>permütasyonumuzu</s>
<s>sonsuzluklarınızda</s>	<s>sonsuzluğumuzda</s>	<s>sonsuzluğumuzda</s>
<s>heyecanlanmıyorduk</s>	<s>heyecanlanıyorum</s>	<s>heyecanlanıyorum</s>
<s>dalgalandırmadılar</s>	<s>dalgalandırıyoruz</s>	<s>dalgalandırıyoruz</s>
<s>ölümsüzleştirmeyiz</s>	<s>ölümsüzleştirmiyorsun</s>	<s>ölümsüzleştirmiyorsun</s>
<s>palindromlarımızdan</s>	<s>palindromların</s>	<s>palindromların</s>
<s>homoseksüelmişsiniz</s>	<s>homoseksüelimizden</s>	<s>homoseksüelimizden</s>
<s>canlandırtılacaksın</s>	<s>canlandırtılmıyordu</s>	<s>canlandırtılmıyordu</s>
<s>süründürtmüyordular</s>	<s>süründürtmeyeceksin</s>	<s>süründürtmeyeceksin</s>
<s>alındırmayacaksınız</s>	<s>alındırırsın</s>	<s>alındırırsın</s>
<s>ağaçkakanlarımızdan</s>	<s>ağaçkakanınızı</s>	<s>ağaçkakanınızı</s>
<s>buruşukluklarınızın</s>	<s>buruşukluk</s>	<s>buruşukluk</s>
<s>şampiyonluklarınızı</s>	<s>şampiyonluğumun</s>	<s>şampiyonluğumun</s>
<s>programlattırmadınız</s>	<s>programlattırıyordu</s>	<s>programlattırıyordu</s>
<s>ayarlattırmıyordular</s>	<s>ayarlattıracaksınız</s>	<s>ayarlattıracaksınız</s>
<s>köygöçürenlerimizden</s>	<s>köygöçürenimizi</s>	<s>köygöçürenimizi</s>
<s>heyecanlandırmıyordun</s>	<s>heyecanlandıracağım</s>	<s>heyecanlandıracağım</s>
<s>sürdürebilirliklerden</s>	<s>sürdürülebilirliklere</s>	<s>sürdürebilirliklere</s>
<s>canlandırtılıyorlardı</s>	<s>canlandırtıltın</s>	<s>canlandırtıltın</s>
<s>yetersizliklerimizden</s>	<s>yetersizliklerinizde</s>	<s>yetersizliklerinizde</s>
<s>prototiplemelerinizden</s>	<s>prototiplemeleri</s>	<s>prototiplemeleri</s>
<s>mesuliyetsizliklerinize</s>	<s>mesuliyetsizlikleri</s>	<s>mesuliyetsizlikleri</s>
<s>kaynaştırtılmayacaksınız</s>	<s>kaynaştırtılmıyorum</s>	<s>kaynaştırtılmıyorum</s>
<s>düzenlenebilirliklerinizin</s>	<s>düzenlenebilirliklerden</s>	<s>düzenlenebilirliklerden</s>
