otuz bircimiz	otuz birciNNOMSGPSS1P
soyut arayüzlerini	soyut arayüzNACCPLPSS3S
katılaşır mı?	katılaşmakVIND3SGPRSPOSINTR
gezmiyor muyuz?	gezmekVIND1PLPRSPROGNEGINTR
rotorunuzdan	rotorNABLSGPSS2P
kolonlarımdan	kolonNABLPLPSS1S
çıkmaz sokağım	çıkmaz sokakNNOMSGPSS1S
buzukiden	buzukiNABLSG
satılmıyordu	satılmakVIND3SGPSTPROGNEGDECL
temsilciler	temsilciNLGSPEC13SPLPRS
rimelimin	rimelNGENSGPSS1S
akılarımızdan	akıNABLPLPSS1P
soğanından	soğanNABLSGPSS2S
birlikteliklerimden	birliktelikNABLPLPSS1S
lehçeden	lehçeNABLSG
uyarımda	uyarıNLOCSGPSS1S
şortundan	şortNABLSGPSS3S
mumyalarının	mumyaNGENSGPSS3P
otomobiliniz	otomobilNNOMSGPSS2P
mevkilerinde	mevkiNLOCPLPSS3S
uçan halılarında	uçan halıNLOCSGPSS3P
balinamı	balinaNACCSGPSS1S
fonksiyonlarından	fonksiyonNABLSGPSS3P
aceminde	acemiNLOCSGPSS2S
içli köftesi	içli köfteNNOMSGPSS3S
reaktörlerini	reaktörNACCPLPSS2S
evciklerin	evcikNNOMPLPSS2S
âşığından	âşıkNABLSGPSS3S
pezevenkmiş	pezevenkNLGSPEC13SSGLGSPEC2
lastiklerine	lastikNDATPLPSS3P
geciktirmez misiniz?	geciktirmekVIND2PLPRSNEGINTR
çubuğum	çubukNNOMSGPSS1S
çığlarımın	çığNGENPLPSS1S
rimellerinize	rimelNDATPLPSS2P
dedikodularıma	dedikoduNDATPLPSS1S
Hindistan cevizlerine	Hindistan ceviziNDATPL
çizmeciymişiz	çizmeciNLGSPEC11PSGLGSPEC2
sivilcesinden	sivilceNABLSGPSS3S
ispatlamayız	ispatlamakVIND1PLPRSNEGDECL
dış ağlarının	dış ağNGENPLPSS3S
köpük belleklerimizin	köpük bellekNGENPLPSS1P
pırasaydı	pırasaNLGSPEC13SSGPST
palikaryama	palikaryaNDATSGPSS1S
kruvasanında	kruvasanNLOCSGPSS2S
vekil sunucuyduk	vekil sunucuNLGSPEC11PSGPST
yelkendiniz	yelkenNLGSPEC12PSGPST
kirletmediler	kirletmekVIND3PLPSTNEGDECL
sunarlar	sunmakVIND3PLPRSPOSDECL
gündöndülerime	gündöndüNDATPLPSS1S
susuyor muydu?	susmakVIND3SGPSTPROGPOSINTR
seyretiyorduk	seyretmekVIND1PLPSTPROGPOSDECL
yormuyor muydu?	yormakVIND3SGPSTPROGNEGINTR
mahzende	mahzenNLOCSG
hapisleriniz	hapisNNOMPLPSS2P
sümürüyor mu?	sümürmekVIND3SGPRSPROGPOSINTR
fortlamaz mısın?	fortlamakVIND2SGPRSNEGINTR
sabahlar	sabahNNOMPL
gençliğimizi	gençlikNACCSGPSS1P
bakmayacak mısınız?	bakmakVIND2PLFUTNEGINTR
gelişmeyecek misin?	gelişmekVIND2SGFUTNEGINTR
durumumuzu	durumNACCSGPSS1P
kafes bileşik	kafes bileşikNNOMSG
numaralamamanızın	numaralamamaNGENSGPSS2P
mutsuz muydum?	mutsuzADJLGSPEC1PST1SGPOSINTR
hunimde	huniNLOCSGPSS1S
koz	kozNLGSPEC13SSGPRS
rimellerime	rimelNDATPLPSS1S
sunar mı?	sunmakVIND3SGPRSPOSINTR
bitirttirirsiniz	bitirttirmekVIND2PLPRSPOSDECL
dişinin	dişNGENSGPSS3S
parçacıklarımız	parçacıkNNOMPLPSS1P
çöpçatanlığınıza	çöpçatanlıkNDATSGPSS2P
devinimlerini	devinimNACCSGPSS3P
enerji	enerjiNNOMSG
efsunlarımıza	efsunNDATPLPSS1P
düşer misiniz?	düşmekVIND2PLPRSPOSINTR
sikeceğiz	sikmekVIND1PLFUTPOSDECL
kaderinde	kaderNLOCSGPSS2S
Tiranlılardın	TiranlıNLGSPEC12SPLPST
yaptırtıyoruz	yaptırtmakVIND1PLPRSPROGPOSDECL
kasmıyorlar mı?	kasmakVIND3PLPRSPROGNEGINTR
sonbaharlara	sonbaharNDATPL
dedikoducuydunuz	dedikoducuNLGSPEC12PSGPST
ceylan	ceylanNNOMSG
gazelinde	gazelNLOCSGPSS3S
sununa	sunuNDATSGPSS2S
kızıyor muydun?	kızmakVIND2SGPSTPROGPOSINTR
kayıtların	kayıtNNOMPLPSS2S
terapistlerin	terapistNNOMPLPSS2S
çökerir miyiz?	çökermekVIND1PLPRSPOSINTR
ilacına	ilaçNDATSGPSS2S
entrikalara	entrikaNDATPL
dişlin	dişliNNOMSGPSS2S
ortamınıza	ortamNDATSGPSS2P
teniniz	tenNNOMSGPSS2P
çalar saatlerinde	çalar saatNLOCPLPSS3P
yıldız	yıldızNNOMSG
keser	keserNNOMSG
savaşçının	savaşçıNGENSGPSS2S
ofisimize	ofisNDATSGPSS1P
banliyömüzde	banliyöNLOCSGPSS1P
yırtmayacaksınız	yırtmakVIND2PLFUTNEGDECL
ovarlar	ovmakVIND3PLPRSPOSDECL
coşkulu musun?	coşkuluADJLGSPEC1PRS2SGPOSINTR
kızacak mı?	kızmakVIND3SGFUTPOSINTR
ilaçlarını	ilaçNACCPLPSS3S
dünürlerinizde	dünürNLOCPLPSS2P
harcımızın	harçNGENSGPSS1P
dikişinizin	dikişNGENSGPSS2P
takata	takatNDATSG
kaplanlarını	kaplanNACCSGPSS3P
sorularından	soruNABLPLPSS3P
genel kültürde	genel kültürNLOCSG
dinozor	dinozorNLGSPEC13SSGPRS
dublöründen	dublörNABLSGPSS2S
kararacaksın	kararmakVIND2SGFUTPOSDECL
üretmeyecek misiniz?	üretmekVIND2PLFUTNEGINTR
horluyorduk	horlamakVIND1PLPSTPROGPOSDECL
insanımsımızda	insanımsıNLOCSGPSS1P
şarklarından	şarkNABLPLPSS2S
erimelerine	erimeNDATPLPSS3S
otuz bircinizden	otuz birciNABLSGPSS2P
solumuyoruz	solumakVIND1PLPRSPROGNEGDECL
dalgınlıkların	dalgınlıkNGENPL
parasızlıklarım	parasızlıkNNOMPLPSS1S
startlarımızdan	startNABLPLPSS1P
sürünmeyecek misiniz?	sürünmekVIND2PLFUTNEGINTR
şairlerden	şairNABLPL
istemcinin	istemciNGENSG
deneyimlerimize	deneyimNDATPLPSS1P
kokulardınız	kokuNLGSPEC12PPLPST
köçeksin	köçekNLGSPEC12SSGPRS
külünüzü	külNACCSGPSS2P
çöpçatanlıklarınız	çöpçatanlıkNNOMPLPSS2P
rahmetli olmayacaklar mı?	rahmetli olmakVIND3PLFUTNEGINTR
kapı yapmıyordunuz	kapı yapmakVIND2PLPSTPROGNEGDECL
kirişimize	kirişNDATSGPSS1P
cücelerine	cüceNDATPLPSS3S
hastalıklarından	hastalıkNABLPLPSS2S
kolejine	kolejNDATSGPSS2S
yalancılığımızın	yalancılıkNGENSGPSS1P
kaplanlara	kaplanNDATPL
papazmış	papazNLGSPEC13SSGLGSPEC2
gösteriyor	göstermekVIND3SGPRSPROGPOSDECL
hanımlardan	hanımNABLPL
kirişleri	kirişNNOMPLPSS3S
kolonyamın	kolonyaNGENSGPSS1S
sinagoglardan	sinagogNABLPL
rotorlarımda	rotorNLOCPLPSS1S
kurtçuklar	kurtçukNLGSPEC13SPLPRS
veterinerleriniz	veterinerNNOMPLPSS2P
şamarlamıyorlar	şamarlamakVIND3PLPRSPROGNEGDECL
kontak lens	kontak lensNNOMSG
göçmediniz mi?	göçmekVIND2PLPSTNEGINTR
irdelediniz	irdelemekVIND2PLPSTPOSDECL
insan-ı kâmilinde	insan-ı kâmilNLOCSGPSS2S
durumlarında	durumNLOCPLPSS3S
nedimelerini	nedimeNACCPLPSS3P
yıkar	yıkmakVIND3SGPRSPOSDECL
yangınlarımızdan	yangınNABLPLPSS1P
soğanları	soğanNNOMSGPSS3P
mantiyiz	mantiNLGSPEC11PSGPRS
vampirlerinde	vampirNLOCPLPSS3P
akrobatmışsınız	akrobatNLGSPEC12PSGLGSPEC2
fakirleştirmeyecek	fakirleştirmekVIND3SGFUTNEGDECL
koyuyordu	koymakVIND3SGPSTPROGPOSDECL
yetersizliklerini	yetersizlikNACCPLPSS3S
dürmüyorsun	dürmekVIND2SGPRSPROGNEGDECL
çizgili sineklerinin	çizgili sinekNGENSGPSS3P
dezenfektanımız	dezenfektanNNOMSGPSS1P
derecem	dereceNNOMSGPSS1S
dokamam	dokumakVIND1SGPRSNEGDECL
sınıflarında	sınıfNLOCPLPSS3S
yeniliklerine	yenilikNDATSGPSS3P
harcının	harçNGENSGPSS3S
yanıt vermeyecek misiniz?	yanıt vermekVIND2PLFUTNEGINTR
cumhurunun	cumhurNGENSGPSS2S
büktürtülmüyorlar mı?	büktürtülmekVIND3PLPRSPROGNEGINTR
mügelerdin	mügeNLGSPEC12SPLPST
edebiyatının	edebiyatNGENSGPSS3S
kaydedicinizin	kaydediciNGENSGPSS2P
genel bilgilerine	genel bilgiNDATPLPSS2S
öksürecekler mi?	öksürmekVIND3PLFUTPOSINTR
fındıkda	fındıkNLOCSG
zincir kuralının	zincir kuralıNGENSG
uzay biliminden	uzay bilimiNABLSG
çöllerinin	çölNGENSGPSS3P
ziyaretçilerdi	ziyaretçiNLGSPEC13SPLPST
göstermiyorsunuz	göstermekVIND2PLPRSPROGNEGDECL
amatörüz	amatörNLGSPEC11PSGPRS
zibidisine	zibidiNDATSGPSS3S
akrebin	akrepNGENSG
bezmeyiz	bezmekVIND1PLPRSNEGDECL
devinizde	devNLOCSGPSS2P
insan-ı kâmillerinden	insan-ı kâmilNABLPLPSS3P
yöremizde	yöreNLOCSGPSS1P
dondurmalarıma	dondurmaNDATPLPSS1S
yapışık ikizlerden	yapışık ikizNABLPL
ambulansları	ambulansNNOMPLPSS3P
fotoğraf çektiler	fotoğraf çekmekVIND3PLPSTPOSDECL
çizgisinin	çizgiNGENSGPSS3S
eksikliklerini	eksiklikNACCPLPSS3P
kestirmesinin	kestirmeNGENSGPSS3S
koşucumuzu	koşucuNACCSGPSS1P
sürücüleriz	sürücüNLGSPEC11PPLPRS
şaşılmıyordun	şaşılmakVIND2SGPSTPROGNEGDECL
haritanı	haritaNACCSGPSS2S
buharlaşmıyordular	buharlaşmakVIND3PLPSTPROGNEGDECL
bükmemenin	bükmemeNGENSG
ölmüyor muydu?	ölmekVIND3SGPSTPROGNEGINTR
üstverilerinizi	üstveriNACCPLPSS2P
işlemcilerine	işlemciNDATPLPSS2S
acemilermişiz	acemiNLGSPEC11PPLLGSPEC2
verdirmiyor musunuz?	verdirmekVIND2PLPRSPROGNEGINTR
havralarını	havraNACCPLPSS2S
attırmadınız	attırmakVIND2PLPSTNEGDECL
hikayelerden	hikayeNABLPL
dokuyorum	dokumakVIND1SGPRSPROGPOSDECL
aygıtçığına	aygıtçıkNDATSGPSS3S
ağlaması	ağlamaNNOMSGPSS3S
delilerinden	deliNABLPLPSS3P
trenlerinin	trenNGENSGPSS3P
senkretizmin	senkretizmNGENSG
bozmayacaksın	bozmakVIND2SGFUTNEGDECL
klitorislere	klitorisNDATPL
ayırmadım	ayırmakVIND1SGPSTNEGDECL
kazacaklar mı?	kazmakVIND3PLFUTPOSINTR
yedirtmediler mi?	yedirtmekVIND3PLPSTNEGINTR
serecek misiniz?	sermekVIND2PLFUTPOSINTR
yoğurtçularında	yoğurtçuNLOCPLPSS2S
altını	altınNACCSG
müsaadesinden	müsaadeNABLSGPSS3S
limonunuzun	limonNGENSGPSS2P
götünüzü	götNACCSGPSS2P
sıyırmıyor muydum?	sıyırmakVIND1SGPSTPROGNEGINTR
acemilerimde	acemiNLOCPLPSS1S
doğularımızdan	doğuNABLPLPSS1P
fallardan	falNABLPL
yerdin mi?	yermekVIND2SGPSTPOSINTR
numaralaman	numaralamaNNOMSGPSS2S
sahifelerim	sahifeNNOMPLPSS1S
en küçük ortak kat	en küçük ortak katNNOMPLPSS1S
bastırmasına	bastırmaNDATSGPSS3S
odaklarından	odakNABLPLPSS3P
pozitif sayımızı	pozitif sayıNACCSGPSS1P
izleyicisinin	izleyiciNGENSGPSS3S
hançerdi	hançerNLGSPEC13SSGPST
mikroorganizmalarınızda	mikroorganizmaNLOCPLPSS2P
yastıklarından	yastıkNABLPLPSS3P
hastalanıyor muyuz?	hastalanmakVIND1PLPRSPROGPOSINTR
kovdurmayız	kovdurmakVIND1PLPRSNEGDECL
yelkeninize	yelkenNDATSGPSS2P
kuğum	kuğuNNOMSGPSS1S
medreselerime	medreseNDATPLPSS1S
bilgisayar donanımı	bilgisayar donanımıNNOMSG
startta	startNLOCSG
şeylersin	şeyNLGSPEC12SPLPRS
cinsel yönelimlerinin	cinsel yönelimNGENPLPSS3S
kalıbı dinlendirmediler mi?	kalıbı dinlendirmekVIND3PLPSTNEGINTR
büyümediler mi?	büyümekVIND3PLPSTNEGINTR
uçağınızda	uçakNLOCSGPSS2P
ümitsiz değil miydim?	ümitsizADJLGSPEC1PST1SGNEGINTR
mazotları	mazotNNOMSGPSS3P
küllüğünün	küllükNGENSGPSS2S
sempozyumlarına	sempozyumNDATPLPSS3S
ulumadınız	ulumakVIND2PLPSTNEGDECL
yanlış mıyım?	yanlışADJLGSPEC1PRS1SGPOSINTR
ayılarını	ayıNACCPLPSS3P
otomobilciliğiniz	otomobilcilikNNOMSGPSS2P
ayılıyor musunuz?	ayılmakVIND2PLPRSPROGPOSINTR
dikkatine	dikkatNDATSGPSS2S
arkadaşlıklarıma	arkadaşlıkNDATPLPSS1S
Aşkabatlılarımızın	AşkabatlıNGENPLPSS1P
uzaktan kumandamız	uzaktan kumandaNNOMSGPSS1P
ramazana	ramazanNDATSG
iğnelerinize	iğneNDATPLPSS2P
yasemininde	yaseminNLOCSGPSS2S
utandırmıyor	utandırmakVIND3SGPRSPROGNEGDECL
şerbetçisini	şerbetçiNACCSGPSS3S
dinletiler	dinletiNNOMPL
patenlerinizi	patenNACCPLPSS2P
ilişkisel modellerin	ilişkisel modelNNOMPLPSS2S
ebediyetlerimiz	ebediyetNNOMPLPSS1P
kazanırım	kazanmakVIND1SGPRSPOSDECL
fındık kırmıyorsun	fındık kırmakVIND2SGPRSPROGNEGDECL
lunaparklarının	lunaparkNGENPLPSS2S
çeteni	çeteNACCSGPSS2S
deneyinizin	deneyNGENSGPSS2P
sindirmedin	sindirmekVIND2SGPSTNEGDECL
tek sayılarımızdan	tek sayıNABLPLPSS1P
benzemedik mi?	benzemekVIND1PLPSTNEGINTR
içeceğim	içmekVIND1SGFUTPOSDECL
kebapları	kebapNNOMPLPSS3S
gözlükçümüzü	gözlükçüNACCSGPSS1P
bakacak mı?	bakmakVIND3SGFUTPOSINTR
ortamınızın	ortamNGENSGPSS2P
dağıtmıyor muydu?	dağıtmakVIND3SGPSTPROGNEGINTR
bakımsız mıymışsın?	bakımsızADJLGSPEC1LGSPEC22SGPOSINTR
eziyetçiydim	eziyetçiNLGSPEC11SSGPST
iç çamaşırına	iç çamaşırıNDATSG
şimallerden	şimalNABLPL
kerevizlerinde	kerevizNLOCPLPSS3S
sonsuzları	sonsuzNNOMSGPSS3P
bükmemelerimden	bükmemeNABLPLPSS1S
yakışıklıydık	yakışıklıADJLGSPEC1PST1PLPOSDECL
aseksüelinizi	aseksüelNACCSGPSS2P
leylek	leylekNNOMSG
akşamlarından	akşamNABLSGPSS3P
dalmıyordunuz	dalmakVIND2PLPSTPROGNEGDECL
hiperbolünüzü	hiperbolNACCSGPSS2P
kusuyorsunuz	kusmakVIND2PLPRSPROGPOSDECL
kaltaklarınızı	kaltakNACCPLPSS2P
örtmem	örtmekVIND1SGPRSNEGDECL
gırtlağına	gırtlakNDATSGPSS3S
defterimizde	defterNLOCSGPSS1P
efelersin	efeNLGSPEC12SPLPRS
saksafonuna	saksafonNDATSGPSS2S
yırtmadın mı?	yırtmakVIND2SGPSTNEGINTR
tavernaları	tavernaNNOMSGPSS3P
beneğinize	binekNDATSGPSS2P
silktik mi?	silkmekVIND1PLPSTPOSINTR
penisilinlerinde	penisilinNLOCPLPSS3S
ağır mıymışsınız?	ağırADJLGSPEC1LGSPEC22PLPOSINTR
seçmenize	seçmeNDATSGPSS2P
dövecekler mi?	dövmekVIND3PLFUTPOSINTR
ummanımı	ummanNACCSGPSS1S
şaşılacak mısınız?	şaşılmakVIND2PLFUTPOSINTR
aşık olmazlar mı?	aşık olmakVIND3PLPRSNEGINTR
ziyaretçilerimizden	ziyaretçiNABLPLPSS1P
beyaz şaraplarında	beyaz şarapNLOCPLPSS3P
öğütücülerini	öğütücüNACCPLPSS2S
ummanlarımız	ummanNNOMPLPSS1P
similyalarım	similyaNNOMPLPSS1S
heyecanlandıracak mıyım?	heyecanlandırmakVIND1SGFUTPOSINTR
ninniymiş	ninniNLGSPEC13SSGLGSPEC2
hazine sandıklarından	hazine sandığıNABLPL
tenisçiyi	tenisçiNACCSG
sevgililersiniz	sevgiliNLGSPEC12PPLPRS
monologların	monologNNOMPLPSS2S
bozunumlarımıza	bozunumNDATPLPSS1P
şahıslarınızı	şahısNACCPLPSS2P
neşriyata	neşriyatNDATSG
hapisleri	hapisNNOMSGPSS3P
suallerini	sualNACCPLPSS3S
iribaşımız	iribaşNNOMSGPSS1P
aşklarına	aşkNDATSGPSS3P
ayakkabılarında	ayakkabıNLOCPLPSS2S
esenliğinin	esenlikNGENSGPSS3S
aikidondan	aikidoNABLSGPSS2S
arayacaksın	aramakVIND2SGFUTPOSDECL
denildiler mi?	denilmekVIND3PLPSTPOSINTR
votkalarız	votkaNLGSPEC11PPLPRS
pişiyorlar mıydı?	pişmekVIND3PLPSTPROGPOSINTR
aikidolarının	aikidoNGENPLPSS3P
sosismişler	sosisNLGSPEC13PSGLGSPEC2
basketbolcularına	basketbolcuNDATPLPSS3P
endoplazmik retikulumdan	endoplazmik retikulumNABLSG
beceriksiz değildik	beceriksizADJLGSPEC1PST1PLNEGDECL
eğlencelerimizin	eğlenceNGENPLPSS1P
takılarmışım	takıNLGSPEC11SPLLGSPEC2
tüteceğim	tütmekVIND1SGFUTPOSDECL
lepistesinin	lepistesNGENSGPSS3S
çapasın	çapaNLGSPEC12SSGPRS
bacılarını	bacıNACCPLPSS3P
bereketlerinde	bereketNLOCSGPSS3P
topluluktu	toplulukNLGSPEC13SSGPST
iblislerinde	iblisNLOCSGPSS3P
bükecek miyim?	kulağını bükmekVIND1SGFUTPOSINTR
gülmeyecekler	gülmekVIND3PLFUTNEGDECL
makarnalarımızdan	makarnaNABLPLPSS1P
şahmerdanından	şahmerdanNABLSGPSS3S
makyaj yaptı	makyaj yapmakVIND3SGPSTPOSDECL
tütsülerin	tütsüNGENPL
yemenilerinin	yemeniNGENPLPSS3S
akciğerlerden	akciğerNABLPL
bölgelerdi	bölgeNLGSPEC13PPLPST
temsilcim	temsilciNNOMSGPSS1S
şiştiniz	şişmekVIND2PLPSTPOSDECL
gri kedilerine	gri kediNDATPLPSS3S
taklitçi oluruz	taklitçi olmakVIND1PLPRSPOSDECL
bedevinizin	bedeviNGENSGPSS2P
ışınlardı	ışınNLGSPEC13PPLPST
öldürtülmüyorsunuz	öldürtülmemekVIND2PLPRSPROGNEGDECL
aktrise	aktrisNDATSG
laçolarında	laçoNLOCPLPSS2S
dılağınız	dılakNNOMSGPSS2P
kara sineklerinin	kara sinekNGENPLPSS2S
nergislerinden	nergisNABLSGPSS3P
bitirmiyor muydun?	bitirmekVIND2SGPSTPROGNEGINTR
silkmeyecek miyiz?	silkmekVIND1PLFUTNEGINTR
kürklerim	kürkNNOMPLPSS1S
meleklerine	melekNDATPLPSS2S
şeftalisini	şeftaliNACCSGPSS3S
kaltaklarını	kaltakNACCSGPSS3P
kloroplastında	kloroplastNLOCSGPSS2S
ıspanağım	ıspanakNNOMSGPSS1S
küllerinde	külNLOCPLPSS2S
derecesi	dereceNNOMSGPSS3S
parlattık	parlatmakVIND1PLPSTPOSDECL
garbından	garpNABLSGPSS2S
istemciydiler	istemciNLGSPEC13PSGPST
satılmazlar mı?	satılmakVIND3PLPRSNEGINTR
sitelerde	siteNLOCPL
şişmedim mi?	şişmekVIND1SGPSTNEGINTR
angutlarız	angutNLGSPEC11PPLPRS
lahanalardım	lahanaNLGSPEC11SPLPST
programlanmıyordular	programlanmakVIND3PLPSTPROGNEGDECL
defterleri	defterNNOMSGPSS3P
diyapazonun	diyapazonNGENSG
küçülüyorsunuz	küçülmekVIND2PLPRSPROGPOSDECL
işletmeye	işletmeNDATSG
sahifeler	sahifeNNOMPL
hamburgerlerinde	hamburgerNLOCSGPSS3P
dönüşler	dönüşNNOMPL
haberlerimizden	haberNABLPLPSS1P
soslarından	sosNABLPLPSS2S
ürümeyeceğim	ürümekVIND1SGFUTNEGDECL
işemedik mi?	işemekVIND1PLPSTNEGINTR
kameralarınızın	kameraNGENPLPSS2P
final sınıfımda	final sınıfNLOCSGPSS1S
mümkün kılmamızı	mümkün kılmaNACCSGPSS1P
temsilcilikmişim	temsilcilikNLGSPEC11SSGLGSPEC2
otomobillermiş	otomobilNLGSPEC13SPLLGSPEC2
bozalarında	bozaNLOCPLPSS3S
yolcumun	yolcuNGENSGPSS1S
üşenmediler	üşenmekVIND3PLPSTNEGDECL
kamçısının	kamçıNGENSGPSS3S
aslımda	asılNLOCSGPSS1S
davranışçılığı	davranışçılıkNNOMSGPSS3S
çedarlarmış	çedarNLGSPEC13PPLLGSPEC2
yapışmıyoruz	yapışmakVIND1PLPRSPROGNEGDECL
silindirlerimin	silindirNGENPLPSS1S
rakıyı	rakıNACCSG
anahtar kelimelerimiz	anahtar kelimeNNOMPLPSS1P
cep telefonlarının	cep telefonuNGENPL
köpek balıklarına	köpek balığıNDATPL
hareketsizliğimize	hareketsizlikNDATSGPSS1P
biseksüellerimden	biseksüelNABLPLPSS1S
şaşırttırıyordum	şaşırttırmakVIND1SGPSTPROGPOSDECL
bloglarını	blogNACCPLPSS3P
bozunumuna	bozunumNDATSGPSS2S
blogcusundan	blogcuNABLSGPSS3S
üyenden	üyeNABLSGPSS2S
pornolarından	pornoNABLPLPSS3S
saymayız	saymakVIND1PLPRSNEGDECL
mamalarından	mamaNABLPLPSS3P
kutup ayılarında	kutup ayısıNLOCPL
fakirlere	fakirNDATPL
cumhuru	cumhurNACCSG
dizemimizi	dizemNACCSGPSS1P
büyücülerde	büyücüNLOCPL
bikinilerin	bikiniNNOMPLPSS2S
göğüslerinizden	göğüsNABLPLPSS2P
barışıyordunuz	barışmakVIND2PLPSTPROGPOSDECL
yıldıza	yıldızNDATSG
sorularınız	soruNNOMPLPSS2P
sihirliydim	sihirliADJLGSPEC1PST1SGPOSDECL
şaşılıyorlar mı?	şaşılmakVIND3PLPRSPROGPOSINTR
değiştirdiler	değiştirmekVIND3PLPSTPOSDECL
sosisli sandviçlerinden	sosisli sandviçNABLPLPSS2S
konserlerimizi	konserNACCPLPSS1P
tanımlıklarımda	tanımlıkNLOCPLPSS1S
amaçlarında	amaçNLOCPLPSS2S
mimari desenini	mimari desenNACCSGPSS2S
gerzeklermiş	gerzekNLGSPEC13PPLLGSPEC2
geyşalarmış	geyşaNLGSPEC13PPLLGSPEC2
yeteceğiz	yetmekVIND1PLFUTPOSDECL
peynirli kekler	peynirli kekNNOMPL
doğularımızda	doğuNLOCPLPSS1P
mesuliyetsizliklerimizi	mesuliyetsizlikNACCPLPSS1P
pastırmalarımda	pastırmaNLOCPLPSS1S
kazaya	kazaNDATSG
dövüşmeyecekler mi?	dövüşmekVIND3PLFUTNEGINTR
fotoğraf çekmiyorlar mıydı?	fotoğraf çekmekVIND3PLPSTPROGNEGINTR
alımlıydılar	alımlıADJLGSPEC1PST3PLPOSDECL
dumanı	dumanNACCSG
oynayacağım	oynamakVIND1SGFUTPOSDECL
migrenlerime	migrenNDATPLPSS1S
sıradan değiller mi?	sıradanADJLGSPEC1PRS3PLNEGINTR
diremezler mi?	diremekVIND3PLPRSNEGINTR
neşeyi	neşeNACCSG
avukatlar	avukatNNOMPL
fulyanız	fulyaNNOMSGPSS2P
aygıtlarınızın	aygıtNGENPLPSS2P
kartallarından	kartalNABLSGPSS3P
papyonuna	papyonNDATSGPSS2S
yenici deyimlerinizde	yenici deyimNLOCPLPSS2P
üremin	üreNGENSGPSS1S
sera etkileri	sera etkisiNNOMPL
parabolünüze	parabolNDATSGPSS2P
cebe	cepNDATSG
pöhrenklerine	pöhrenkNDATPLPSS3S
programlattık mı?	programlatmakVIND1PLPSTPOSINTR
olmazsa olmazım	olmazsa olmazNNOMSGPSS1S
kontakt lenslerinden	kontakt lensNABLPLPSS2S
patlıyor muydunuz?	patlamakVIND2PLPSTPROGPOSINTR
askerinizin	askerNGENSGPSS2P
anacak	anmakVIND3SGFUTPOSDECL
striptizini	striptizNACCSGPSS3S
uzunlukta	uzunlukNLOCSG
tatlısın	tatlıNLGSPEC12SSGPRS
sakallarımız	sakalNNOMPLPSS1P
acır mısınız?	acımakVIND2PLPRSPOSINTR
iyileştirdim mi?	iyileştirmekVIND1SGPSTPOSINTR
smileyimizden	smileyNABLSGPSS1P
rahmetli olmadı	rahmetli olmakVIND3SGPSTNEGDECL
eklemeliydiniz	eklemeliADJLGSPEC1PST2PLPOSDECL
sürteriz	sürtmekVIND1PLPRSPOSDECL
dilmediler	dilmekVIND3PLPSTNEGDECL
buzulmuşlar	buzulNLGSPEC13PSGLGSPEC2
giymiyorsun	giymekVIND2SGPRSPROGNEGDECL
eşofmanlarınız	eşofmanNNOMPLPSS2P
yoldaşlarımın	yoldaşNGENPLPSS1S
müşterinin	müşteriNGENSG
maktalarını	maktaNACCPLPSS3S
kabukların	kabukNNOMPLPSS2S
vikipedistini	vikipedistNACCSGPSS3S
ongunumuz	ongunNNOMSGPSS1P
kaynaşmıyorsun	kaynaşmakVIND2SGPRSPROGNEGDECL
bozmadın	bozmakVIND2SGPSTNEGDECL
dirim bilimcilerinize	dirim bilimciNDATPLPSS2P
derecelerinin	dereceNGENSGPSS3P
çarpıymışsınız	çarpıNLGSPEC12PSGLGSPEC2
homoniminden	homonimNABLSGPSS2S
taklitlerinin	taklitNGENSGPSS3P
katili	katilNNOMSGPSS3S
boyacısınız	boyacıNLGSPEC12PSGPRS
sümüğümüzde	sümükNLOCSGPSS1P
aşıkmış	aşıkNLGSPEC13SSGLGSPEC2
anjiyonuzun	anjiyoNGENSGPSS2P
cezeryeden	cezeryeNABLSG
uyruklarını	uyrukNACCSGPSS3P
mustatilimizde	mustatilNLOCSGPSS1P
artı sayılarınızda	artı sayıNLOCPLPSS2P
osuruyordunuz	osurmakVIND2PLPSTPROGPOSDECL
cavlağı çekiyorum	cavlağı çekmekVIND1SGPRSPROGPOSDECL
biseksüelmişiz	biseksüelNLGSPEC11PSGLGSPEC2
özel okullarına	özel okulNDATSGPSS3P
uzaktan	uzakNABLSG
ölçüşmüyor mu?	ölçüşmekVIND3SGPRSPROGNEGINTR
anlarınıza	anNDATPLPSS2P
seccadende	seccadeNLOCSGPSS2S
pasif değilmiş	pasifADJLGSPEC1LGSPEC23SGNEGDECL
pijamalarının	pijamaNGENPLPSS3P
darılacaklar	darılmakVIND3PLFUTPOSDECL
cimcimem	cimcimeNNOMSGPSS1S
sosislilerimizden	sosisliNABLPLPSS1P
mümessillerim	mümessilNNOMPLPSS1S
taç yaprağı	taç yaprakNNOMSGPSS3S
göstermedi mi?	göstermekVIND3SGPSTNEGINTR
sürümden	sürüNABLSGPSS1S
referansından	referansNABLSGPSS3S
yabancılarınızdan	yabancıNABLPLPSS2P
oltamızın	oltaNGENSGPSS1P
sindirmiyordun	sindirmekVIND2SGPSTPROGNEGDECL
Hakk'ın rahmetine kavuşmadık	Hakk'ın rahmetine kavuşmakVIND1PLPSTNEGDECL
köpüğe	köpükNDATSG
şehirlerin	şehirNGENPL
